"time" "AWP_SST_area" "WHWP_SST_area" "AWP_SST" "WHWP_SST" "TNA_SST" "NP_SST" "NWA_SST" "ENSO3.4_SST" "AMO_SST" "TNA_SSS" "AWP_SSS" "NP_SSS"
"1948-01-01" 65 159 297.293842034591 295.636564044563 297.713466798392 284.522133594722 277.650345599065 302.019730417352 287.459679518101 36.5988121071403 36.0404641201622 32.951434981566
"1948-02-01" 65 159 296.97367264597 295.113295616098 297.288837990011 283.770403050665 277.492106328245 301.888992252206 287.030745037037 36.5376760819379 36.0482147216797 32.9540279255578
"1948-03-01" 65 159 297.645591173674 295.228920616098 297.336918899033 284.044787101682 277.597505413118 301.920002299144 287.266792652326 36.4862599285814 36.0161925265664 32.9436247495079
"1948-04-01" 91 204 298.265008063065 295.623532332855 297.645708177755 284.087425573548 278.433024922355 302.13017536823 287.879964795069 36.6282769429514 36.0650251890484 32.9196412796603
"1948-05-01" 114 246 299.505729273746 296.345152812101 298.167996270824 284.87693612018 279.131139286229 302.106374238667 288.58130658506 36.6056075241213 36.0907962598299 32.7989964872648
"1948-06-01" 231 368 300.423773353978 297.090452689865 298.708248956371 286.821800067452 280.613810679952 302.048070004112 289.765998377805 36.6180135850732 35.9865978843287 32.6509119669596
"1948-07-01" 310 454 301.175588507401 298.096500609521 299.116970481896 288.789101773036 283.191759703589 301.891690878044 291.065840780483 36.5693641879254 35.8199763247841 32.6600776976021
"1948-08-01" 370 525 301.662881309108 298.684292540258 299.658448365699 290.462607413777 285.54437230845 301.914380984199 291.825174401966 36.6094067923679 35.8083021465101 32.6798184238263
"1948-09-01" 302 429 301.459682263826 298.534661906755 299.936391997589 289.497297296477 284.541835597304 301.990026430976 291.603452881105 36.6649417219491 35.9369569477282 32.712638200219
"1948-10-01" 92 217 300.052978355006 298.07369982661 299.75419052437 287.86628973662 282.906578564253 302.192636647619 290.59907757009 36.8763270581228 36.0240366283216 32.7696213350565
"1948-11-01" 133 252 300.56875546104 297.799177478609 299.27404312883 285.606348142102 281.057428078573 302.328391340442 289.764841205332 36.8233269445795 36.0396760237844 32.8700971619209
"1948-12-01" 67 168 299.26834427683 296.79793468657 298.558985129879 283.822436837217 278.660485939901 302.272245822993 288.760103223787 36.8288054243788 36.0374990965191 32.8831695853972
"1949-01-01" 65 159 298.413545628598 295.80013315629 297.747872266657 282.462922053551 278.004348004451 302.037514306549 288.056020961427 36.7736402322022 36.0579002179598 32.8939712043623
"1949-02-01" 65 159 298.036108880294 295.21503337419 297.126466854231 281.933947764028 277.46039406198 301.901673166375 287.420952988055 36.5988121264847 36.0761211596037 32.9054070879176
"1949-03-01" 65 159 298.266576505962 295.306169408681 297.254828301922 282.268230634345 278.155251174677 301.961962821788 287.550293841559 36.5930281285098 36.0709993663587 32.9425072614629
"1949-04-01" 68 162 298.659502370734 295.225735618955 297.490512314459 282.740112760174 278.370260895276 302.151244428821 287.92321142406 36.5428197640193 36.0173202715422 32.8953302298019
"1949-05-01" 85 179 299.481568828382 296.035038041095 298.09799638159 284.171426548491 278.849791229748 302.244323443649 288.474855039967 36.4873113187283 35.9900443428441 32.8874649598231
"1949-06-01" 102 196 300.79680754009 296.81967491098 298.797382096314 285.81696720661 279.845884604532 302.194883934537 289.549420153723 36.4768655092189 35.8865397001568 32.8622028199001
"1949-07-01" 317 411 301.783422690944 297.829491896856 299.555884210125 287.973293272812 282.800076844262 302.025612967355 291.096187435584 36.5321561105353 35.7310340279027 32.787010733761
"1949-08-01" 561 751 302.264705296567 299.067712360823 300.062203548946 289.451254064962 284.662900205518 301.748811478005 291.901978313527 36.5076721435145 35.7103886654502 32.8160230026119
"1949-09-01" 632 813 302.05687994706 299.183623727811 300.314169874837 290.236695398739 283.825343272725 302.017798631711 291.975015894956 36.3447215368491 35.8430815646523 32.9089562778251
"1949-10-01" 321 452 300.935449379369 298.263635046304 300.164746480673 288.713955906098 282.325329514801 302.207027406621 290.909037167644 36.259056331178 35.9097884127968 32.903847325896
"1949-11-01" 165 277 299.695805760434 297.494304049745 299.594670117309 286.918627939809 279.932577164447 302.32503205493 289.837225071349 36.3508000286791 35.9362078817267 32.8464066171725
"1949-12-01" 65 159 298.492312300833 296.507569189785 298.787922235066 285.166490848978 278.782300605149 302.281253327104 288.743746975902 36.3464533958667 35.9431856657329 32.5993020293329
"1950-01-01" 65 159 297.406119095652 295.59913803412 297.610910362305 283.403539553211 278.323083471079 302.080538125863 287.68201537963 36.5440591537445 35.9813998372931 32.6233306366017
"1950-02-01" 65 159 297.216081318102 295.226748719507 297.119731004524 282.836993873811 277.796783322194 301.83838171708 287.250066935836 36.5060134330579 35.9764946586207 32.4770034391489
"1950-03-01" 65 159 297.642784520199 295.261759979871 297.141318502005 282.860560073979 277.397814641233 301.939655906276 287.205088647879 36.5215895190442 35.995519778603 32.5181392840485
"1950-04-01" 92 190 297.990835892527 295.511974890054 297.330830727548 283.205146802203 277.582948028064 302.149470221727 287.507580105416 36.3522444970709 35.9631207717092 32.5285164499362
"1950-05-01" 133 241 299.784056332237 296.065643435108 297.894995196848 284.163114278866 279.448359129859 302.223731019443 288.524625190051 36.3077666261375 35.9494490774054 32.5287846269497
"1950-06-01" 203 310 301.510314941406 297.075301688058 298.51879091897 286.468500039273 281.148263024502 302.111064652751 289.644887558859 36.541456284436 35.8790911624306 32.4393188482889
"1950-07-01" 308 406 301.586553955078 297.899752371652 299.212507419811 288.348584682787 283.438097594214 301.913109169867 291.124863774203 36.5689541292481 35.7289618441933 32.5030203893608
